Run time;Map type;Insert duration;Random element;Delete duration;Total duration;Peak memory working set;Peak virtual memory usage;Compiler;C++ standard version;Build type;Standard library;Boost version
2024-04-20;std::map<int,int>;2.69652;486191;0.0948644;2.79144;;485.1 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::unordered_map<int, int>;0.194504;1915194;0.0562171;0.250768;;409.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::unordered_map<int, int>;0.203332;486191;0.0496288;0.253007;;405.1 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::unordered_map<int, int> (not reserved);0.271832;1915194;0.0624016;0.334287;;423.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::unordered_map<int, int> (not reserved);0.251322;486191;0.052887;0.304253;;430.4 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;boost::flat_map<int, int>;0.239842;1915194;0.000135801;0.240024;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;boost::flat_map<int, int>;0.297255;486191;0.000152342;0.297445;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;MapVectorSoA<int, int>;0.17801;1915194;0.00016276;0.178222;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;MapVectorSoA<int, int>;0.333259;486191;0.000196807;0.333496;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;MapVectorAoS<int, int>;0.164071;1915194;0.000192311;0.164315;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;MapVectorAoS<int, int>;0.281604;486191;0.000119237;0.28176;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::map<int,int>;2.73285;1915194;0.0992749;2.83219;;486.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::map<int,int>;2.60572;486191;0.101041;2.70681;;485.1 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::unordered_map<int, int>;0.195441;1915194;0.0540821;0.249576;;409.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::unordered_map<int, int>;0.196093;486191;0.0446716;0.240808;;405.1 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::unordered_map<int, int> (not reserved);0.265771;1915194;0.0627382;0.328562;;423.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::unordered_map<int, int> (not reserved);0.266715;486191;0.0511387;0.317896;;430.4 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;boost::flat_map<int, int>;0.241854;1915194;0.000156779;0.242062;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;boost::flat_map<int, int>;0.29282;486191;0.000162274;0.293018;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;MapVectorSoA<int, int>;0.17365;1915194;0.000300369;0.174003;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;MapVectorSoA<int, int>;0.327978;486191;0.000226851;0.328249;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;MapVectorAoS<int, int>;0.166293;1915194;0.000100359;0.166442;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;MapVectorAoS<int, int>;0.272019;486191;0.000180335;0.272241;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
